banque,nom_agence,ville,localisation,note,sentiment,avis,topic,date_avis,langue,topic_clean,topic_name,topic_category
Al Barid Bank,Agence BARID CASH,Mohammedia,"MJMF+JJX, Mohammédia",0.0,Negatif,mauvais comportement refuse d'encaisser les frais taxes pour dépôt changement permis de conduire c'est une mauvaise réputation du groupe poste maroc,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Agence BARID CASH,Mohammedia,"MJMF+JJX, Mohammédia",0.0,Positif,cet espace ne respecte pas les clients et la personne en service ne porte pas de masque de protection sachant que le masque est obligatoire combien de temps certaines personnes indifférentes continueront elles à perturber la vie des autres je ne le tiens pas seul pour responsable mais je le partagerai à parts égales entre lui et celui qui l'a mis à cette place et je me tourne vers les autorités responsables jusqu'à ce que je mette fin à ces absurdités,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Agence BARID CASH,Mohammedia,"MJMF+JJX, Mohammédia",0.0,Negatif,mauvais service ils sont très lents,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,vous pouvez retirer de l'argent dans les devises locales sans aucune commission ni frais supplémentaires,Services bancaires,05/06/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Negatif,le guichet automatique a été démonté je ne comprends pas comment les gens veulent retirer de l'argent ici mais vous ne pouvez pas le faire au guichet automatique car il n'y en a plus à environ 30 mètres nous avons trouvé une banque cih dans le passage d'un restaurant el bahia restaurant malheureusement je ne peux pas dire si c'est toujours là ou juste temporairement les frais de retrait étaient forfaitaires de 50 dirhams donc ça vaut le coup surtout pour les montants de retrait plus importants,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,soyez très prudent j'ai essayé de retirer de l'argent la machine est tombée en panne sans donner l'argent et ils m'ont facturé le retrait à la banque j'ai écrit directement à la banque mais ils ne m'ont pas cru je pense que ce sont des escrocs faites très attention à ne pas retirer d'argent vous retrouvez le débit sur votre compte mais sans l'avoir reçu,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Negatif,la file d'attente est longue il faut donc attendre environ 30 minutes pour entrer il se trouve à côté de l'hôtel ali donc une personne peut échanger les euros restants à côté et l'autre personne peut faire la queue ici facile à retirer,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,probablement l'atm le plus correct de la ville tout confondu,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Neutre,après plusieurs tentatives d'appel pas de réponse,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Negatif,belle expérience une période d'attente d'environ 4 heures avec un très mauvais traitement de la part des ouvriers et du gérant,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Neutre,retirez de l'argent sans commissions chez revolut,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Neutre,distributeur automatique de billets disponible pas de frais,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Neutre,la pire agence de service et d'organisation dans tout son service,Service client,06/05/2025,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,pas de frais de commission,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Positif,vous devez passer au moins toute votre journée pour obtenir ce que vous voulez et bien sûr la moitié des messages sont vides pour des raisons peu claires,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Positif,je suis récemment allé à la banque barid et j ai été très déçu par le service bien qu il y ait eu environ 10 personnes avant moi il n y avait qu un seul employé pour gérer toutes les demandes cela a rendu le processus extrêmement lent et j ai dû attendre très longtemps pour régler mes affaires tous les autres postes étaient vides et il semblait qu aucun effort n était fait pour améliorer l efficacité ce niveau de service est inacceptable et doit être corrigé pour éviter que les clients ne perdent des heures pour des tâches basiques,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Meknès,Meknès,0.0,Negatif,trop de retard,Service client,06/05/2025,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Meknès,"BD HAJ M'HAMED BEN CHAKROUNE, Meknès 50013",0.0,Positif,bashir abdel razzaq vous remercie pour vos services et votre bon traitement,Service client,06/05/2025,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"X4JM+CC2, Rabat 10112",0.0,Neutre,le pire service jamais,Service client,06/05/2025,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,pas de guichet automatique ne viens pas ici et perds ton temps,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,distributeur automatique avec retrait d'espèces sans commission,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,pas de frais pour les cartes étrangères,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"19 Rue Malouiya, Fès",0.0,Negatif,manque de personnel service très lent et médiocre,Service client,06/05/2025,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,il était cassé quand nous y sommes allés un dimanche mais nous avons vu d'autres personnes l'utiliser plus tard dans la semaine,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"X4JM+CC2, Rabat 10112",0.0,Neutre,le pire service réfléchissez 100 fois avant d'ouvrir un compte bancaire postal,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"256C+6QW, Rabat",0.0,Neutre,merci de reconsidérer cette agence ou d'envoyer un comité de suivi prestations désastreuses et manque de personnel qui ne répond pas à l'objectif des clients,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"256C+6QW, Rabat",0.0,Neutre,agence vide sans relais 7choma on laisse nos postes au détriment de notre pause déjeuner pour trouver personne et faire des aller et des retours,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"9F7F+C6H, Dcheira El Jihadia 80000",0.0,Negatif,très mauvais la banque est toujours pleine et il y a un manque et une lenteur d'employés dans la banque,Service client,06/05/2025,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Positif,services excellents confortables et rapides,Service client,06/05/2025,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Negatif,fonctionne sans problème retrait d'argent en deux fois aucun frais ajouté par la banque,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,a pris notre carte de crédit ne la sort plus le numéro sur l'écran etc n'est pas disponible lors de l'appel,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Positif,carte à lancer disponible taux de change en temps réel pas de commission sûr car il y a beaucoup de touristes très bien,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"X4JM+CC2, Rabat 10112",0.0,Neutre,service n ikhan,Service client,06/05/2025,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,frais minimes facturés pour 2000 mad je n'ai payé que 21 89 cela aurait même pu être ma banque qui a facturé cela pas le guichet automatique option langue anglaise,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,la meilleure application,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"48 Av. Al Maghrib Al Arabi, Rabat",0.0,Negatif,très mauvaise expérience à l agence de la poste du maroc sur l avenue mohammed v attendre plus de 2 heures pour une simple opération de caisse est inadmissible le service est lent désorganisé et le personnel semble dépassé il est vraiment frustrant de perdre autant de temps pour des tâches simples vraiment décevant,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Negatif,lors d'une tentative de retrait d'espèces vers 11 heures du matin un jour de semaine la machine était à court d'argent tout comme l'autre distributeur automatique de la banque barid à proximité de jama el fna décevant compte tenu de la popularité de ce guichet automatique auprès des touristes,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Negatif,le service est très mauvais car cela prend beaucoup de temps et il n'y a qu'une seule femme qui travaille et elle entre et sort constamment sans rien faire il y a beaucoup de gens qui attendent mais elle est dans un autre monde c'est dommage la vérité est,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Negatif,franchement vous ne fournissez aucun service au même niveau que quiconque peut voir en vous ils verront une lacune en vous de plus le manager ne vous laisse pas de temps ou quoi que ce soit honnêtement je n'ai jamais rien vu de pareil malheureusement,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,retrait avec revolut sans commissions,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"328G+6GM, Fès",0.0,Neutre,dans ces guichets automatiques d'al barid il n'y a pas de frais de retrait pour les cartes internationales seule banque à morrocoo semble t il reste changement 33 35 dh,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"328G+6GM, Fès",0.0,Positif,excellente banque pour les retraits sans commissions au maroc nous nous sommes retirés facilement et sans aucun problème,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"328G+6GM, Fès",0.0,Neutre,pas de frais super,Service client,06/05/2025,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"9F7F+C6H, Dcheira El Jihadia 80000",0.0,Neutre,une catastrophe administrative,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Neutre,distributeur automatique sans commission,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Neutre,c'est le seul distributeur automatique au maroc qui ne facture pas de frais lors de l'utilisation de la carte revolut je conseille,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Negatif,une employée de mauvaise qualité j'aimerais que vous lui apportiez quelque chose le plus tôt possible,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Positif,en tant que touriste cette banque est très bien pour retirer de l argent car elle ne vous facture pas de commission pour le change,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,retraits revolut sans commissions,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,il n y a de puissance ni de force qu en dieu le très haut le grand pas de système pas de traitement pas de respect pas besoin il n'y a personne une carte de domestique et une machine qui n'a rien pour aller à la fenêtre,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,El Jadida,"6FMW+RM8, El Jadida",0.0,Negatif,la nouvelle femme sur la caisse est nulle il reçoit pas les les clients aussi elle fait son boulot trop trop ralenti en essayant de re provoquer par contre la femme précédente al_barid_bank je comprends pas comment vous recruter res employés,Services bancaires,30/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Negatif,super guichet automatique la seule banque qui ne prend pas de frais cela roule vite et il y a généralement une file d'attente de monde ici pendant la journée l'argent est toujours disponible je ne sais pas d'où viennent les mauvaises critiques,Services bancaires,30/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,pas de frais de retrait avec carte internationale,Services bancaires,30/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Positif,pas de frais pour la carte revolut qui utilise la devise mad distributeur automatique parfait pour les voyageurs,Services bancaires,30/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,l agence dont il est question dans le quartier de bir al shifa ne respecte pas le temps des gens il n y a pas de système pas de traitement pas de comportement et pas de services comme les autres institutions deux semaines et je n'ai pas,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"329M+FVM Sidi Boujida, Fès",0.0,Neutre,ils ne sont pas disponibles a la banque j ai attendu 50minutes pas de professionnalisme manque de respect,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"19 Rue Malouiya, Fès",0.0,Negatif,services nuls la personne qui travaille à la caisse est impolie ne respecte ni les clients ni la politique de poste ila utilisée mes info personnelles pour m'insulter puis il a quitté le bureau pour ne pas me servir,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"19 Rue Malouiya, Fès",0.0,Positif,agence qui souffre perte de système comme il l'appel souvent impliquant beaucoup de retard et mécontentement coté clients comme pour les employés,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"19 Rue Malouiya, Fès",0.0,Neutre,médiocre comme service,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"19 Rue Malouiya, Fès",0.0,Negatif,service nul,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Fès,"19 Rue Malouiya, Fès",0.0,Positif,bon endroit,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,des arnaqueurs et voleurs,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Negatif,mauvais service,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,quiche a 1 serviteurs pour environ 60 personnes cela explique la distance entre l'administration et le citoyen et la souffrance du peuple augmente avec l'établissement public en raison de la perte des droits bénéfiques du peuple et de son assassinat en raison de la rareté de l'élément humain et c'est hélas le poste central,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Positif,les services zero sont toujours bondés et les clients attendent devant la porte la banque postale acfps au maroc s'occupe des clients,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,service très médiocre en raison de la surpopulation et de l'indifférence du personnel envers les clients,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,pourquoi un manque permanent de service client bancaire on en a marre de rester debout tout le temps,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Negatif,le courrier bancaire envoie et reçoit de l'argent et des objets via amanat mais il existe plusieurs problèmes tels que la congestion,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"X4JM+CC2, Rabat 10112",0.0,Neutre,je veux savoir si nous sommes à l'âge de pierre ou ce qui est pire que pire nous espérons qu'il y aura un changement dans votre conscience merci,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Negatif,toujours occupé et service lent,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"X4JM+CC2, Rabat 10112",0.0,Negatif,service très très nul directrice souvent absente et si par chance elle est présente aucun respect des clients de sa part antipathique malveillante elle a toujours des problèmes familiaux à régler au téléphone j'ai toujours de mauvaises expériences avec cette banque je changerai cette banque,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"X4JM+CC2, Rabat 10112",0.0,Negatif,null de chez null jai jamais été aussi deçue aucun effort je ne reçois que les colis qui arrivent par erreur à d'autres agence sinon si un colis arrive à ma boite postale chez cet agence ils ne fournissent aucun effort même pas un sms indiquant que j'ai reçu quelque chose et attendent gentillement pour retourner le colis ils sont les plus nulls l'agence avec le service le plus médiocre sur toute rabat et parmis toutes les agences il faut trouver une solution,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"X4JM+CC2, Rabat 10112",0.0,Negatif,service très nul aucun respect aux clients,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Positif,excellent emplacement service de sécurité excellent malheureusement il faut prendre son temps et sa patience en main pour obtenir ce qu'on veut,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Negatif,trés mauvais service les clients sont obligés à attendre leur tour hors agence c est trés humiliant,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"48 Av. Al Maghrib Al Arabi, Rabat",0.0,Positif,très mauvais service aucune courtoisie ni respect de la part des agents de cette agence ils ne font même leur travail comme il se doit,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"48 Av. Al Maghrib Al Arabi, Rabat",0.0,Negatif,les pires services du pays manque de respect en agence perte du temps en attente,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"48 Av. Al Maghrib Al Arabi, Rabat",0.0,Negatif,service médiocre retard t9der tb9a 2h voir même plus had l étoile o bzf 3likom malheureusement,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"48 Av. Al Maghrib Al Arabi, Rabat",0.0,Neutre,le seul distributeur au maroc sans commissions moyen simple et sécurisé de retirer de l'argent,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Rabat,"48 Av. Al Maghrib Al Arabi, Rabat",0.0,Neutre,frais de guichet automatique gratuits à compter du 24 février,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Neutre,chef d'agence serviable souriant et trop gentil bravo,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Negatif,mauvaise service sur tout les niveaux,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Negatif,service nul 0 zero,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Positif,je recommande le distributeur ici c'est le seul du coin qui ne facture pas de frais pour les retraits le retrait minimum est de 100mad,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Neutre,et ma famille est la seule qui reste,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"9F7F+C6H, Dcheira El Jihadia 80000",0.0,Positif,mauvais service avec les deux nouveaux femmes fonctionnaires j'ai demander de changer mon agence àcelle de hay ilham mais la réponse était je n'ai pas une formulaire ou un imprimé hhh bien venu au maroc de 20ème siècle,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"9F7F+C6H, Dcheira El Jihadia 80000",0.0,Positif,il est recommandé de le visiter entre 9h et 10h sinon vous perdrez beaucoup de temps un utilisateur au service de plusieurs clients trafic intense toute la journée si vous êtes pressé allez ailleurs même les guichets automatiques sont bondés bonne chance à tous,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"9F7F+C6H, Dcheira El Jihadia 80000",0.0,Neutre,composer le numéro britannique lbarid bnk,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Al Barid Bank,Agadir,"9F7F+C6H, Dcheira El Jihadia 80000",0.0,Neutre,le meilleur endroit pour recevoir de l argent d un bureau de change,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
