Banque;Ville;Nom Agence;Localisation;Note;Avis;Date Avis
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Manque d'ordre, mauvais comportement de certains employés, attente longue due au manque d'employés, machine de dépôt ne fonctionnant pas.;il y a 7 mois
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;"Le pire service jamais vu et le guichet automatique est tellement bruyant et quand vous demandez de l'aide, ils disent ""monsieur l'application""";il y a 2 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Appelez les employés de Lowell;il y a 4 mois
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;"Mauvaise attitude, mauvais service, le guichet automatique est toujours vide et chaque fois que vous demandez quelque chose, ils disent toujours ""Système Tay7"".";il y a 4 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Des monstres fous qui n'ont pas sommeil et qui n'ont pas l'effort;il y a 3 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Numéro de service lkhra 7achakom;il y a 2 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Services médiocres;il y a 8 mois
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;service nul;il y a 3 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;service nul;il y a 4 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;"0 service par un conseiller impoli je me suis venu a 14.00 h le conseiller n'était Pas la en raison il fait sa prière j'ai patienté 30 min j'ai peur que je rate le train
Quand est venu j'ai voulu l'expliquer ce que je veux
C'est une demande simple
il m'a dit attends madame ne me parle pas maintenant
Je me suis choquée
Et c'est pas la première fois qui fait ça";il y a un mois
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Manque de respect envers les clients et le rôle du gardien est celui du propriétaire de l'agence et de la fille Shaima est l'une des personnes les plus gentilles de la création de Dieu. Malheureusement, il est un manager et ne sait pas parler. Veuillez vous renseigner sur cette agence;il y a 2 semaines
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Si vous ne voulez pas attendre éternellement pour effectuer un simple versement, fuyez cette agence ! Chaque jour, Pas moins que 25 personnes (minimum 1h d’attente) pour effectuer une operation de caisse…;il y a un an
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Le pire service que j'aie jamais vu, le personnel agit comme s'il voulait travailler avec vous et le temps d'attente est trop long;il y a un an
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Le pire service que j'aie jamais vu, le personnel agit comme s'il voulait travailler avec vous et le temps d'attente est trop long.  J'ai attendu 2 heures et quand j'ai cherché la personne avec qui je travaille je ne l'ai pas trouvée, à 3h imaginez;il y a 4 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Un mauvais service,le personnel en colère comme si ils vont faire un plaisir ,mauvaise agence je déconseille ce service .👎👎👎👎👎👎👎 …;il y a un an
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Serviiiiiiiiiceeee nuuul personnel zéro ils traitent pas bien les clients à la porte le sécurité m’as demandé qu’est-ce vous voulez mais ça va pas c pas son travail;il y a 5 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;La pire agence Cih que j'ai vu, ni service ni personnel, durée de traitement très long, un fil d'attente très très long je ne recommande pas cette agence 👎👎👎 …;il y a 2 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;services très très nul durant ce confinement les gents qui travaillent ne veulent pas travailler ils laissent les clients devant la porte pendant des heures et des heures.;il y a 4 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;La piiire des banques , service nuuuuuuuuuul nul nul , + Toujours un prb au guichet  Et une queue non finie;il y a 2 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;J’ai problème de paiement la agence la centre d apple madaroch l7al…;il y a 2 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;agent de securite mal poli ... a essaye de m'empecher d'entrer en pretendant que c interdit d'entrer en portant un SHORT;il y a 6 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;"Service nul
Système toujours ne marche pas";il y a 2 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Il ne repond pas au telephone;il y a 2 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Service très mal personnel zéro :(;il y a 5 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Service n est pas à la hauteur;il y a 3 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Nul;il y a un an
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;IL NE REPOND PAS AU TELEPHONE;il y a 4 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Movais service;il y a 3 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Nul;il y a 2 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;"J'ai essayé de retirer ma carte mais ils continuent de me balancer de l'un à l'autre et à la fin le grand gars là-bas vous dit que le responsable ""n'est pas là aujourd'hui, reviens un autre jour"" (c'est une boucle)";il y a un an
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Il s'agit du 3ème lieu où la personne est née pour le même compte que celle qui a quitté la chambre en fin de journée.;il y a 2 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Faire une transaction bancaire 0 Je suis parti et j'ai compté dans un état comme si nous en étions satisfaits;il y a 11 mois
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Nous faisons confiance à Dieu, nous essayons et nous ouvrons un compte auprès de l'agence d'Al-Bernoussi, Amal Tariq, et j'espère que mon opinion sur cette agence ne lui plaira pas.;il y a 4 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;ils méritent ce nom : le système est en panne 🗑️ …;il y a 2 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Prêt immobilier et touristique, à proximité de la station de tramway Abu Dhar Al-Ghafari à Al-Bernusi.;il y a 4 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Le pire service de tous les temps;il y a 3 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Et puis;il y a 2 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;Haut;il y a 5 ans
CIH Bank;Casablanca;CIH Bank, Agence Bernoussi Al Amal;N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000;1,4;nul;il y a 4 ans
CIH Bank;Rabat;CIH BANK;259F+224, Avenue d'Alger, Rue Kairaouane, Rabat 10020;3,7;Chef d agence qui sait même pas parlé avec les clients mais vraiment un service nuuuul je recommande pas  cette agence pour personne pffffd;il y a 3 mois
CIH Bank;Rabat;CIH BANK;259F+224, Avenue d'Alger, Rue Kairaouane, Rabat 10020;3,7;Cette agence est l’une des meilleures agences CIH BANK que j’aie jamais visitées. L’équipe est très serviable et je tiens à faire une mention spéciale à Laila Madani qui est toujours disponible pour aider les clients à tout moment, même en dehors des heures de travail. Merci beaucoup.;il y a 8 mois
CIH Bank;Rabat;CIH BANK;259F+224, Avenue d'Alger, Rue Kairaouane, Rabat 10020;3,7;Le meilleur service que tu peux avoir à une agence de CIH 10/10;il y a 4 mois
CIH Bank;Rabat;CIH BANK;259F+224, Avenue d'Alger, Rue Kairaouane, Rabat 10020;3,7;Personnel tres accueillant et excellent  service!;il y a 5 mois
CIH Bank;Rabat;CIH BANK;259F+224, Avenue d'Alger, Rue Kairaouane, Rabat 10020;3,7;en haut;il y a 7 mois
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;"Cette agence ne respecte jamais l'horaire de travail pratiqué dans toutes les agences CIH.
Ils se permettent de fermer carrément l'agence pendant 2 heures pour déjeuner.";il y a 4 ans
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;Service clientele nul , temps d'attente de +12 min;il y a 3 ans
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;Le chef d'agence est d'un niveau très bas.;il y a 3 ans
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;Fake !! La banque ne situe pas là;il y a 7 ans
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;Credit immobilier ET hotelier;il y a 7 ans
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;Fausse adresse,c i h Barekkkkll;il y a 6 ans
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;Bon service;il y a 6 ans
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;Ma sœur, cliente de longue date de CIH BANK, a perdu une partie de ses fonds suite à un dysfonctionnement de leur système. Lorsqu'elle a demandé de l'aide, elle a été harcelée et menacée par le directeur de la banque, cette femme qui a même menacé d'appeler la police et l'a fait expulser de force par la sécurité. Le directeur lui a également crié dessus. Tout ce que ma sœur voulait, c'était que le directeur écrive un e-mail demandant le remboursement de ses fonds perdus, ce qui est une procédure standard que d'autres directeurs de banque suivent habituellement. Cependant, cette femme manager a refusé. Seule dans une grande ville, ma sœur est rentrée chez elle en pleurant et en tremblant à cause du comportement cruel et inconsidéré du manager. Nous ne sommes pas aussi préoccupés par les fonds perdus que par le traitement épouvantable que ma sœur a reçu. Les actions de la manager étaient non seulement humiliantes, mais aussi profondément perverses et inconsidérées.;il y a 9 mois
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;"Pas de réseau toujours mauvaise agence
Nous sommes en 2022 et cette banque n'a pas de réseau, c'est totalement une blague, ils utilisent ça pour ne pas fonctionner";il y a 3 ans
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;Abado Abado;il y a 3 ans
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;"Bonjour,
CIH BANK vous remercie d'avoir partagé votre avis.
Au plaisir de vous accueillir une nouvelle fois en agence.";il y a 3 mois
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;"Bonjour,
Nous nous excusons de n'avoir pas pu répondre à vos attentes. Veuillez nous contacter au 4747 ou à reclamations-clients@cihbank.ma et nous ferons de notre mieux pour vous offrir un meilleur service.";il y a 10 mois
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;"Accueillir,
Merci d'avoir partagé votre avis.
Nous serons heureux de vous accueillir dans nos agences.";il y a un an
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;"Bonjour,
Nous sommes navrés que nous n'ayons pas pu répondre à vos attentes. 
Nous vous invitons à nous contacter sur le 4747 ou sur reclamations-clients@cihbank.ma, nous ferons le nécessaire pour vous offrir un meilleur service.";il y a un an
CIH Bank;Rabat;CIH Bank;Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000;2,3;"Bonjour
CIH BANK vous remercie d'avoir partagé votre retour. Comment pouvons-nous vous offrir un meilleur service ?";il y a un an
CIH Bank;Marrakech;CIH Bank - Agence Al Izdihar;Marrakech;1,5;"L'agent de sécurité est vraiment désagréable, il parle aux clients d'une manière inacceptable, il est toujours de mauvais humeur.
Les transactions à la caisse prennent beaucoup de temps en comparant avec d'autres agences. Malheureusement, c'est la seule agence proche à ma résidence.";il y a 3 ans
CIH Bank;Marrakech;CIH Bank - Agence Al Izdihar;Marrakech;1,5;"Service très médiocre voire nul
J'ai eu  une très mauvaise expérience avec l'agence izdihar 175
Je voulais clôturer mon compte a cause justement de leur service médiocre qui est ouvert initialement a rabat.
Le chef d'agence m'a fait attendre 2h30 hier pour ensuite me dire que je dois revenir le lendemain. Deja dans son bureau il a pris en continu des appelles privées et il rigolais avec ses potes au téléphone devant moi ( aucun sens de professionnalisme)
Aujourd'hui il me dit que ca sera pas possible et que je devais me déplacer a Rabat. Il tient pas compte des conditions sanitaires et même en état normal il est possible de clôturer un compte dans n'importe quelle agence pour les autres banques
...

ATTENTION.!!  Le chef d'agence n'a aucune considération au temps des clients";il y a 3 ans
CIH Bank;Marrakech;CIH Bank - Agence Al Izdihar;Marrakech;1,5;Bonjour, à cause des agissements des employés de cette banque, je souhaite fermer mon compte car je rencontre quotidiennement des problèmes avec les employés de cette banque. Je m'excuse, mais les employés de cette banque ne sont pas aptes à y travailler.;il y a un an
CIH Bank;Marrakech;CIH Bank - Agence Al Izdihar;Marrakech;1,5;"Charge de clientele toujours indisponible (toujours en pause dej) il faut toujours l’attendre min 2h (matinée ou début d’aprem) et cela depuis 2017.
Agence mal gérée (personnel désagréable et démotivé)";il y a 2 ans
